model,board,dataset,value,complete_support,inputs,rejected
smooth-srgb,measurement,hong_2025_ellipsoids,0.24307353958497357,True,11037,0
smooth-srgb,measurement,bfd,29.498161360932574,False,2776,452
smooth-srgb,measurement,leeds,26.420868048228684,True,307,0
smooth-srgb,measurement,witt,25.062004122596925,False,418,2
smooth-srgb,measurement,rit,28.84854073834579,False,312,28
smooth-srgb,measurement,macadam,25.69354257576207,False,256,3
candidate-full,generation,hung_berns,,False,156,18
candidate-full,generation,ebner_fairchild,2.2428688947053694,True,306,0
candidate-full,generation,munsell,3.816220064243416,True,2734,0
candidate-full,generation,xiao_unique_hues,1.7425659709829748,True,36,0
candidate-full,generation,osa_ucs_1974,0.3008509363391113,True,558,0
candidate-full,measurement,macadam1942,0.3227561696199787,False,625,36
candidate-full,measurement,luo_rigg_ellipses,0.2728015226817286,False,3300,3
candidate-full,measurement,alder1982,0.31381204096336135,False,2025,35
candidate-full,measurement,regan_1994_cvd_ellipses,0.25307938867931934,True,375,0
candidate-full,measurement,koenderink_2026_3d_metric_field,0.3677151110310208,True,945,0
candidate-full,measurement,brown_1957_12obs_ellipsoids,,False,567,241
candidate-full,measurement,wyszecki_fielder_1971_ellipsoids,0.35681953885358003,False,2268,41
candidate-full,measurement,brown_macadam_1949_ellipsoids,0.3330521041506166,False,1836,566
candidate-full,measurement,huang_2012_cielab_ellipses,0.3062952042050278,True,459,0
candidate-full,measurement,berns_1991_rit_dupont_tolerance_vectors,0.39452103059025795,True,175,0
candidate-full,measurement,hong_2025_ellipsoids,0.28053070126313395,True,11037,0
candidate-full,measurement,bfd,29.87635127314479,True,2776,0
candidate-full,measurement,leeds,27.479856213247434,True,307,0
candidate-full,measurement,witt,22.9915909209552,True,418,0
candidate-full,measurement,rit,30.20585717567838,True,312,0
candidate-full,measurement,macadam,31.680924443232445,True,256,0
candidate-srgb,generation,hung_berns,,False,156,78
candidate-srgb,generation,ebner_fairchild,,False,306,70
candidate-srgb,generation,munsell,,False,2734,1232
candidate-srgb,generation,xiao_unique_hues,1.7425659709829548,True,36,0
candidate-srgb,generation,osa_ucs_1974,0.23667107830901032,False,558,19
candidate-srgb,measurement,macadam1942,0.3124384532774108,False,625,300
candidate-srgb,measurement,luo_rigg_ellipses,0.24855820897308517,False,3300,605
candidate-srgb,measurement,alder1982,0.24281497203942365,False,2025,364
candidate-srgb,measurement,regan_1994_cvd_ellipses,0.25357869869305605,False,375,8
candidate-srgb,measurement,koenderink_2026_3d_metric_field,0.33215090576871487,True,945,0
candidate-srgb,measurement,brown_1957_12obs_ellipsoids,,False,567,396
candidate-srgb,measurement,wyszecki_fielder_1971_ellipsoids,0.30560815347919223,False,2268,278
candidate-srgb,measurement,brown_macadam_1949_ellipsoids,,False,1836,1045
candidate-srgb,measurement,huang_2012_cielab_ellipses,0.30188301005443463,False,459,34
candidate-srgb,measurement,berns_1991_rit_dupont_tolerance_vectors,0.33701366547602385,False,175,16
candidate-srgb,measurement,hong_2025_ellipsoids,0.24162228382509732,True,11037,0
candidate-srgb,measurement,bfd,29.046938430418912,False,2776,452
candidate-srgb,measurement,leeds,26.483362597816328,True,307,0
candidate-srgb,measurement,witt,24.689222730090258,False,418,2
candidate-srgb,measurement,rit,28.476497152413003,False,312,28
candidate-srgb,measurement,macadam,25.63959401935666,False,256,3
